TimeStamp,D1_Commanded_Torque,D1_DC_Bus_Voltage,D2_Motor_Speed,IVT_Result_I
1718634530868.987793,0,4.63428,0,-4.49695
1718634530877.987549,0,4.53306,0,-6.74689
1718634530886.987305,0,4.93263,0,-7
1718634530895.987061,0,4.63434,0,-7
1718634530904.986816,0,4.4,0,-5.20396
1718634530913.986328,0,4.66606,0,-2.5041
1718634530922.986084,0,4.66698,0,-1.59791
1718634530931.985840,0,4.6,0,-2.94788
1718634530940.985596,0,4.46699,0,-4.1891
1718634530949.985352,0,4.66602,0,-5.04622
1718634530958.985107,0,4.667,0,-5.90334
1718634530967.984863,0,5.06549,0,-4.80227
1718634530976.984619,0,4.96752,0,-3.45231
1718634530985.984375,0,4.8,0,-3.62993
1718634530994.984131,0,4.8,0,-4.57728
1718634531003.983887,0,5.13244,0,-4.52534
1718634531012.983643,0,4.96758,0,-3.66822
1718634531021.983398,0,4.8,0,-2.50415
1718634531030.983154,0,4.99944,0,-0.254211
1718634531039.982910,0,4.76762,0,2
1718634531048.982666,0,4.73295,0,-0.6948
1718634531057.982422,0,4.53411,0,-3.39473
1718634531066.982178,0,4.4,0,-6.09465
1718634531075.981934,0,4.86526,0,-8.79458
1718634531084.981689,0,5.1,0,-7.75824
1718634531093.981201,0,4.76771,0,-3.70846
1718634531102.980957,0,4.6,0,-1.44714
1718634531111.980713,0,4.7329,0,-2.79711
1718634531120.980469,0,4.8,0,-4.24512
1718634531129.980225,0,4.99934,0,-6.49506
1718634531138.979980,0,4.90067,0,-8.745
1718634531147.979736,0,4.53423,0,-7.00507
1718634531156.979492,0,4.66576,0,-4.75513
1718634531165.979248,0,4.53426,0,-3.10311
1718634531174.979004,0,4.9979,0,-1.75315
1718634531183.978760,0,4.83499,0,-1.75786
1718634531192.978516,0,4.73286,0,-3.4721
1718634531201.978271,0,4.66715,0,-5.05149
1718634531210.978027,0,4.73285,0,-5.52516
1718634531219.977783,0,4.66716,0,-6
1718634531228.977539,0,4.6,0,-5.5725
1718634531237.977295,0,4.73283,0,-5.14394
1718634531246.977051,0,4.8,0,-4.70115
1718634531255.976807,0,4.66718,0,-4.25116
