Time (s),Velocity (m/s),Torque Commanded (Nm),Brake Commanded (N),Pack Voltage (V),Discharge (Wh),Base Speed (m/s),Kv,Motor Power (W),Iq Current (A)
9.433989846962017,26.254207611083984,95.54754704687772,0.0,585.577158509389,60.717885957300226,40.33498179985186,9.140938901974573,33202.45119329529,111.20524563184094
9.443505325077187,26.27298355102539,95.48100084661475,0.0,585.5739192861853,60.80564788627487,40.334662144231785,9.14091702442496,33203.05511554287,111.12779428144175
9.453014027834103,26.291704177856445,95.4146506885915,0.0,585.5706829968053,60.89334882910772,40.33434823928117,9.140896404098878,33203.62432916002,111.0505710993849
9.46251598485071,26.31036949157715,95.34849657280792,0.0,585.5674496336643,60.980988965992175,40.33404003789213,9.140877030459862,33204.159125602724,110.9735760856703
9.472011224951581,26.328981399536133,95.28253173918684,0.0,585.5642191894061,61.068568470908055,40.33373748516838,9.140858891202498,33204.65984511443,110.89680137242416
9.48149977754626,26.347537994384766,95.21676294780544,0.0,585.5609916564467,61.15608752404874,40.333440543264075,9.140841977888815,33205.1267211391,110.8202548275203
9.490981671254168,26.36604118347168,95.15118343858651,0.0,585.5577670274307,61.24354629939407,40.33314915860283,9.140826278511968,33205.56008559572,110.74392858308487
9.500456935279054,26.384489059448242,95.0857999716073,0.0,585.5545452947747,61.33094497713742,40.33286329253259,9.140811784450745,33205.96017690642,110.66783050699175
9.509926145967691,26.401355743408203,95.02602060865267,0.0,585.5513262682525,61.41828870832429,40.33258756129156,9.140799544898641,33206.29803390423,110.59825489833878
9.51939036606453,26.4152774810791,94.97667880494285,0.0,585.5481095944301,61.505587086699244,40.33232463601899,9.140790170788879,33206.55679328658,110.54082728694466
9.528850497922623,26.426692962646484,94.9362197427147,0.0,585.5448949724732,61.59284827688687,40.3320714674035,9.140782975774975,33206.75540126718,110.49373806181879
9.538307303053216,26.435989379882812,94.9032711262903,0.0,585.5416821479976,61.68007918215803,40.331825759840875,9.140777443589869,33206.908108983676,110.45539004456508
9.54776156932405,26.44308853149414,94.87811011883613,0.0,585.5384708573781,61.76728696053977,40.33158680029093,9.14077341677258,33207.01926311779,110.42610581801226
9.557214098332782,26.447948455810547,94.86088544205128,0.0,585.5352608321155,61.85447890675755,40.33135396809156,9.140770758871462,33207.09263034512,110.40605847538558
9.566665677844505,26.450605392456055,0.0,431.941378870231,585.5352608321155,61.85447890675755,44.740201895943784,10.14,0.0,0.0
9.576126500732258,26.424762725830078,0.0,399.3762066305613,585.5352608321155,61.85447890675755,44.740201895943784,10.14,0.0,0.0
9.585598567702732,26.393394470214844,0.0,0.0,585.5352608321155,61.85447890675755,44.740201895943784,10.14,0.0,0.0
9.595070634673206,26.393394470214844,40.46608534470032,0.0,585.5337382359819,61.89167354942378,43.083042795458184,9.764443865471002,14136.37741538521,47.09739914420428
9.60454270164368,26.393394470214844,95.05423717101527,0.0,585.5305226629201,61.97904321603151,40.33117957432665,9.140805201628822,33206.141887332116,110.63109540388184
9.614014636505628,26.393762588500977,95.05293247610967,0.0,585.5273078199918,62.06641168342118,40.33095696183223,9.140804935319384,33206.149238458354,110.62957690422449
9.623486149740144,26.39493751525879,95.04876826853533,0.0,585.5240938034372,62.153776323254725,40.330731844603086,9.140804088417818,33206.17261607261,110.62473029391914
9.63295683694012,26.397239685058594,95.04060885531737,0.0,585.5208807476942,62.24113346331515,40.33050326861582,9.140802442588909,33206.21804701925,110.61523377015523
9.642426216603711,26.4008846282959,95.02769034772875,0.0,585.5176688128398,62.32847872925261,40.33027069701902,9.140799873643841,33206.28895933358,110.60019826318523
9.651893762493197,26.40599822998047,95.00956658067217,0.0,585.514458173871,62.41580733662194,40.33003398363273,9.140796345703805,33206.38634334591,110.57910449333353
9.661358925059416,26.412647247314453,94.98600095144452,0.0,585.511249013644,62.503114283503216,40.329793284955294,9.140791891368874,33206.50929909799,110.55167708501457
9.670821148752731,26.42085075378418,94.95692585927355,0.0,585.5080415171869,62.59039450584085,40.32954901998679,9.140786602702597,33206.655285211986,110.5178373594897
9.680279814214357,26.430789947509766,94.9216990968223,0.0,585.5048358910649,62.67764234929057,40.329301299212474,9.14078050150833,33206.82369973602,110.47683786874104
9.68973378930607,26.44390296936035,94.87522356585846,0.0,585.5016325134284,62.76484747448,40.329047404343406,9.140772965755861,33207.03171273686,110.42274623586879
9.699181622450094,26.46109390258789,94.81429498977452,0.0,585.4984318702402,62.85199659680687,40.328787264795324,9.140763971836563,33207.27997564037,110.3518330886575
9.708622972049069,26.479265213012695,94.74989173399382,0.0,585.4952340775995,62.93908652249871,40.328529876993755,9.140755557019594,33207.51225277156,110.27687585427587
9.718057865332458,26.497385025024414,94.68567100029836,0.0,585.4920391284012,63.02611741932178,40.32827772112552,9.140748283580999,33207.7130235934,110.20213105248878
9.72748633011451,26.515451431274414,94.62163954876534,0.0,585.4888470153126,63.113089461255896,40.32803075725599,9.140742142602477,33207.882534473305,110.1276065511701
9.736908393436538,26.533466339111328,94.5577906193176,0.0,585.4856577312296,63.200002816067325,40.327788939347016,9.140737123778495,33208.02107003882,110.053294482446
9.746324082247563,26.551429748535156,94.49412421195507,0.0,585.4824712690485,63.28685765152232,40.327552225112896,9.140733217653796,33208.12889141609,109.97919484631642
9.755733424080354,26.569339752197266,94.43064708675502,0.0,585.4792876214384,63.3736541416007,40.32732057342842,9.14073041503948,33208.20625234887,109.90531551065529
9.765136445699227,26.58719825744629,94.3673524836402,0.0,585.4761067812968,63.46039245406874,40.32709394015692,9.140728706060242,33208.25342549828,109.83164860758869
9.774533173777895,26.605005264282227,94.30424040261063,0.0,585.472928741522,63.547072756692685,40.3268722833642,9.140728081339764,33208.27066972344,109.75819413711666
9.783923634227264,26.62276268005371,94.24130408358907,0.0,585.4697534952402,63.633695211025234,40.32665556171503,9.140728531633684,33208.258240213254,109.68494423136531
9.793307853543297,26.64046859741211,94.17855028665274,0.0,585.4665810353507,63.720259984832644,40.32644373405269,9.140730047741425,33208.216390921014,109.61190675820849
9.80268585813299,26.658123016357422,94.11597901180167,0.0,585.4634113547536,63.806767245881176,40.326236758786806,9.140732620363861,33208.14537849409,109.53908171764627
9.812057673644821,26.67572784423828,94.05358349895859,0.0,585.4602444465771,63.89321715572352,40.32603459644109,9.140736240677285,33208.045446431446,109.4664612418047
9.82142332631124,26.693281173706055,93.99137050820076,0.0,585.4570803037226,63.979609882125935,40.32583720467971,9.140740899213126,33207.916856007396,109.39405319855769
9.830782841608999,26.710784912109375,93.92933327945094,0.0,585.4539189193197,64.06594558664112,40.32564454525752,9.14074658742627,33207.75984298214,109.32184972003137
9.84013624493063,26.728239059448242,93.86747181270914,0.0,585.450760286499,64.15222443082176,40.32545657855865,9.140753296460653,33207.57465167554,109.24985080622572
9.84948356158496,26.745643615722656,93.80578610797532,0.0,585.4476043983915,64.23844657622055,40.32527326507522,9.14076101748448,33207.36152571523,109.17805645714074
